id,status_group
59627,functional
30815,non functional
52941,functional
63112,functional
33832,functional
37774,functional
69182,non functional
18657,functional needs repair
64384,functional
50163,functional
30112,functional
715,non functional
23325,non functional
6730,functional
39174,functional
2815,functional
57921,functional
69456,functional
7272,functional needs repair
43166,non functional
4652,functional
46922,non functional
42986,functional
62105,functional
19226,functional
51403,non functional
58876,non functional
55034,functional
60588,non functional
5188,non functional
42814,non functional
1213,functional
11605,non functional
3123,non functional
64183,functional
70860,non functional
59723,non functional
28825,non functional
18242,functional needs repair
54782,non functional
6085,non functional
48964,functional
4171,functional
4947,functional
28463,functional
1086,functional
30008,non functional
60580,functional
69148,functional needs repair
29148,functional
26569,functional
1067,non functional
18537,functional
71214,functional
32812,non functional
62308,functional
45712,non functional
52256,non functional
42384,non functional
25388,functional
24885,functional
73929,non functional
50966,functional
50656,functional
2952,functional
25436,functional
50377,non functional
27836,non functional
44831,non functional
69262,non functional
74167,non functional
29335,functional
57178,functional
55074,functional
18794,functional
56874,non functional
59789,non functional
21640,functional
24531,functional
36004,functional
10238,non functional
59647,non functional
12797,non functional
39996,non functional
9585,functional
50469,functional
30740,non functional
33589,non functional
6006,functional
1339,functional needs repair
66837,non functional
71189,non functional
10332,functional
22364,non functional
70946,non functional
22893,functional
36694,functional
11929,non functional
40789,non functional
46755,non functional
67379,functional
51104,functional
7766,functional
59953,functional
40655,functional
5042,functional
3036,non functional
56440,functional
31918,functional
10909,functional
5644,functional
56989,non functional
6818,non functional
19243,non functional
18350,functional needs repair
38575,functional
33508,non functional
23678,functional
16725,non functional
66486,functional needs repair
51063,functional
18041,non functional
18614,functional
58259,functional needs repair
52752,functional
63058,functional
56800,non functional
53006,functional
60706,non functional
52923,functional
331,functional
68447,functional
34777,non functional
69521,non functional
66642,functional
57498,non functional
41722,non functional
36734,non functional
46921,functional
28838,functional
48658,non functional
61343,functional
47326,functional
6387,functional
70625,non functional
35204,functional
30633,functional
50412,functional
15729,non functional
71470,non functional
54940,functional needs repair
11506,functional
20252,non functional
50915,functional
12951,non functional
25130,non functional
9867,functional
62808,functional
12153,functional
50746,functional
32728,functional needs repair
51072,non functional
26821,non functional
64211,non functional
50917,non functional
3033,non functional
10732,non functional
16409,non functional
66601,functional
45740,non functional
17459,functional
36426,non functional
19708,non functional
44556,functional
23008,non functional
7686,non functional
41097,non functional
61576,non functional
5708,functional needs repair
12180,non functional
4577,functional
12972,functional
58778,functional
35950,functional
71815,non functional
49911,non functional
71990,functional
22889,non functional
45270,non functional
46122,functional
30471,functional
30931,functional
52176,non functional
66457,functional
40692,functional needs repair
33026,functional
60815,functional
25063,functional
57112,functional
67580,functional
12203,non functional
19224,functional
54027,functional
18370,functional
36152,functional
39958,functional
67354,functional
15998,functional
21609,non functional
54446,functional
28566,non functional
47805,functional
72851,functional
43403,functional
22462,functional
44330,non functional
34930,functional
61533,functional
30230,functional
12462,functional
45236,non functional
37349,non functional
44082,functional
3686,functional
45231,functional
37354,functional
27586,functional
59614,functional
25529,non functional
10362,functional
37459,functional
21725,functional
37430,functional
59981,functional
67031,functional
62051,functional
4260,functional
54726,non functional
3297,functional
1261,non functional
47305,functional
57109,functional
46310,functional
14127,functional needs repair
24364,functional
38244,functional
13782,functional
32528,non functional
17630,functional
25375,functional needs repair
16625,non functional
1531,non functional
44372,functional
26453,non functional
7966,non functional
65756,non functional
64146,functional
63454,functional needs repair
40385,functional needs repair
64063,non functional
68682,non functional
21517,functional
24046,non functional
17328,functional
71601,functional
24943,non functional
1433,functional
31907,functional
60294,non functional
32678,functional
71846,functional
71969,functional
3522,functional
56395,non functional
38130,functional
49810,functional needs repair
41071,non functional
54992,functional
24116,non functional
39025,non functional
19635,non functional
51399,non functional
72799,functional
60266,non functional
33520,functional
10649,non functional
17936,non functional
8134,non functional
20377,non functional
61138,functional
572,non functional
46293,functional
969,functional
28767,functional
22857,non functional
18266,functional
39754,non functional
69384,non functional
45646,non functional
47693,functional
50847,functional
71058,functional needs repair
15649,functional
67648,functional
19603,functional
60702,functional
29083,functional
21100,functional
44070,non functional
48801,functional
69806,functional
47521,non functional
55560,functional
23240,functional
49613,functional
65622,non functional
30254,functional needs repair
33709,functional
2165,functional
58603,functional
43333,non functional
35027,functional needs repair
15488,functional
1118,functional
15361,non functional
41053,non functional
58783,non functional
33153,non functional
52511,functional
6624,functional
54861,functional
3676,non functional
72102,functional
71797,functional
6135,functional
55834,functional needs repair
20230,functional
18699,functional
21073,functional
11059,functional
824,functional
34735,functional
593,functional
66862,functional
68893,functional
73895,non functional
34525,functional
49537,non functional
68816,functional
1818,non functional
37547,non functional
12898,functional needs repair
9548,non functional
29940,non functional
56291,functional
3272,functional needs repair
61082,non functional
44123,functional
36361,functional
25459,functional
68138,functional
23764,non functional
55552,functional
39461,non functional
51659,non functional
1244,functional needs repair
16176,functional
8424,functional
42806,functional
8550,functional
30041,non functional
73526,functional
64259,functional
43712,functional
10754,non functional
47128,non functional
22390,functional
39261,non functional
54611,non functional
36047,functional
62165,functional
6924,functional
39384,non functional
52111,functional
66021,non functional
71516,non functional
25533,functional
59982,functional
3538,non functional
60513,functional needs repair
21672,functional
29866,non functional
48245,functional
53286,functional
28043,functional
20595,non functional
52424,non functional
54725,non functional
38725,functional
14663,functional
27070,non functional
27295,functional
42126,functional
64546,non functional
49802,functional
23737,non functional
61367,non functional
47051,functional
54682,non functional
13906,functional
613,functional
35477,functional
25836,non functional
71550,functional needs repair
11425,non functional
29027,functional
36084,functional
11532,functional
72258,functional
62951,non functional
14110,functional
19761,non functional
33030,functional
37948,functional
16025,non functional
10262,functional
21192,functional
50063,non functional
57700,non functional
6897,functional
7860,functional
12463,functional
11457,non functional
51278,non functional
73380,non functional
46065,functional needs repair
65753,non functional
13113,functional
21166,functional
43619,functional needs repair
2403,functional needs repair
25334,functional needs repair
61292,functional
14392,functional
16898,functional
28232,non functional
22520,functional
39691,functional
70650,functional
62421,functional
56595,functional
60982,non functional
32818,functional
9563,functional
6923,functional
66313,functional
19442,functional
8614,functional
8007,functional
71414,functional needs repair
43273,functional
54639,non functional
43271,non functional
10011,functional
57853,non functional
10950,functional
56697,functional
56170,functional
72590,functional needs repair
39353,functional
70696,non functional
12025,functional
55235,functional
49079,functional
50984,non functional
65324,non functional
55631,functional
65459,non functional
33636,non functional
21065,functional
59802,functional
4949,non functional
21173,functional
52889,functional
41589,non functional
34219,functional
31605,non functional
2659,non functional
46673,non functional
20539,functional
26073,non functional
39268,functional needs repair
27488,non functional
70704,non functional
20782,functional
45273,non functional
62666,functional
30348,functional needs repair
72236,functional
32085,functional
69537,functional
34702,non functional
4799,functional
8367,functional
17595,functional
53595,functional
58478,functional
67395,non functional
385,functional
3264,functional
4447,functional
51552,functional
272,functional
56806,functional needs repair
17432,non functional
56939,non functional
46889,functional
18993,functional
41275,non functional
44124,functional
53463,functional needs repair
60684,non functional
18167,non functional
58712,non functional
28416,functional
7468,functional
41490,non functional
57182,non functional
26826,non functional
54476,functional
6652,functional
70567,functional
51476,functional
59687,functional
55017,functional needs repair
15932,functional needs repair
43043,non functional
42092,functional
25492,non functional
36501,non functional
5878,non functional
49954,non functional
73260,non functional
74047,non functional
70834,functional needs repair
28402,functional needs repair
32189,non functional
53745,functional
61381,functional needs repair
68067,functional
32061,non functional
65900,non functional
8811,functional needs repair
7492,functional
7184,non functional
40476,non functional
7697,non functional
30139,non functional
53371,functional
41883,non functional
24429,non functional
28093,functional
43735,functional
52017,functional
67889,functional
23031,functional
70163,functional
22585,non functional
18352,functional
48567,functional needs repair
11868,non functional
63811,functional needs repair
69810,functional
61754,functional needs repair
50574,functional
6440,non functional
32118,non functional
890,functional
48435,non functional
48146,non functional
35637,functional
26762,non functional
35941,functional
59089,functional
52179,non functional
14006,non functional
31183,non functional
55948,functional
71239,non functional
11672,functional
59253,functional
5932,non functional
63969,functional
66870,functional
40162,non functional
62072,functional needs repair
209,functional
42845,non functional
37434,functional
11450,non functional
26659,functional
62309,functional
66262,functional
62380,functional
24144,non functional
29183,functional
6908,functional
1693,functional
14746,functional needs repair
34696,functional
65860,functional
40133,non functional
47947,non functional
21647,non functional
29461,non functional
17152,functional
44256,functional
50733,non functional
60452,non functional
13762,non functional
60652,functional
29957,functional
64481,non functional
53166,functional needs repair
26779,functional
10497,functional
31042,functional
44255,non functional
13029,functional
59579,non functional
33086,functional
68494,functional
31747,functional
59552,functional
74085,functional
56119,non functional
22063,non functional
34365,functional
7512,functional
27637,functional
40586,functional
57813,non functional
18048,non functional
6234,functional
61087,non functional
43637,functional
39129,non functional
61053,non functional
2645,functional
60556,functional
43733,functional
11970,functional
23533,non functional
15097,non functional
71789,non functional
25261,functional
7321,functional
29975,functional
11227,functional
11341,non functional
66718,functional needs repair
43487,functional
61524,functional
65567,functional
51116,functional
57965,functional
66220,functional
828,non functional
28903,non functional
23924,functional
62711,functional
20224,non functional
47891,non functional
61901,non functional
30884,functional
47856,functional needs repair
42248,functional
29955,non functional
30407,non functional
22901,functional
48893,functional
58316,non functional
51513,functional
52641,functional
38529,functional
15615,non functional
14000,non functional
52588,functional
23872,non functional
51742,functional
42895,functional
52368,functional
6859,non functional
33033,non functional
1791,functional
72939,functional
26139,non functional
21452,functional
9230,functional
16364,non functional
55548,functional
58301,functional
24899,functional
11917,functional
24924,non functional
5348,non functional
22215,functional
60403,functional
10791,functional
35447,non functional
30665,non functional
65525,functional
9394,non functional
16550,functional
49169,functional
11600,non functional
892,functional
66259,non functional
71784,non functional
22207,functional
36446,non functional
38765,non functional
238,functional
37516,functional
52439,functional
44302,functional
67746,non functional
47722,functional
43208,functional
21582,functional
50129,non functional
15960,non functional
19189,functional
4981,non functional
782,non functional
36919,functional
14097,non functional
33755,functional
24830,non functional
26054,non functional
66164,non functional
11615,functional
3441,functional
16610,functional
65188,functional
64516,functional
7721,functional
9393,functional
71683,functional
15131,functional
39315,non functional
36431,non functional
12217,functional
14652,non functional
67600,non functional
51546,functional
50681,functional
68240,functional
39082,functional needs repair
24143,functional
49950,non functional
5910,non functional
33983,functional
6368,functional
25662,functional needs repair
61852,non functional
60881,non functional
3176,functional
30656,functional
16839,functional
10737,functional
43060,functional
66887,non functional
24164,non functional
16227,non functional
57470,functional
10727,functional
27310,functional
4874,non functional
24165,functional
31534,non functional
1011,functional
59746,non functional
48518,functional
27767,functional
9880,non functional
40643,functional
64283,functional
45333,non functional
39081,non functional
1918,functional
11268,functional needs repair
46011,functional
73312,non functional
21733,functional
70747,functional
26611,functional
26279,functional
1992,functional
59263,functional
55928,non functional
48329,functional
44119,functional
50635,non functional
9888,functional
44536,non functional
65275,non functional
73754,non functional
15157,functional
11064,non functional
42151,functional
34101,non functional
12940,non functional
10729,functional
47040,functional
26161,non functional
44093,functional
49856,non functional
66011,functional
2439,non functional
29962,functional
64964,functional
69535,non functional
55093,functional needs repair
10951,non functional
21344,non functional
23405,functional
10151,functional
42974,functional
58042,functional
39937,functional
19713,functional
53004,non functional
61478,functional needs repair
21734,functional
51266,non functional
54006,functional
63402,non functional
59756,functional needs repair
32774,functional
32985,non functional
18453,functional
74235,functional
70346,functional
35091,functional
10903,functional
71172,functional
20216,functional
8251,functional
11102,functional
35580,functional
5128,functional
66030,functional
33812,functional
8144,functional
5426,functional
69293,functional
37932,functional
47359,functional
37869,non functional
10313,non functional
54223,functional
10828,functional
49599,functional needs repair
72035,functional
24455,functional
18735,functional
6116,functional needs repair
52441,functional
22511,functional
24280,non functional
36330,functional
655,functional
7354,functional
9698,functional
17626,functional
13845,functional
6088,non functional
10518,functional
2682,functional needs repair
60090,non functional
274,non functional
30671,non functional
69911,functional
58707,non functional
44218,non functional
32741,functional
17176,functional
45243,non functional
6560,functional
65381,non functional
41896,non functional
32283,functional
52045,functional
42435,functional
54547,non functional
46148,functional
49741,non functional
50967,non functional
37068,functional
11394,functional needs repair
65813,functional
13322,functional
64558,functional
45629,non functional
56663,functional
22694,functional
33200,functional
26522,functional
69064,functional
11483,functional
36342,non functional
39437,functional
56398,functional
24736,functional
53816,functional
72152,functional
70059,non functional
51041,functional
488,functional
31312,functional
23129,functional
25508,functional
47294,non functional
6899,functional
35597,functional needs repair
29795,functional
71578,non functional
65528,non functional
71710,functional needs repair
33897,non functional
74160,functional
33948,functional
49018,non functional
43632,non functional
4699,functional needs repair
7819,non functional
9106,functional needs repair
19890,functional
26142,non functional
16245,non functional
41663,functional
2401,functional
25273,functional
10110,functional needs repair
63079,non functional
27021,functional
24700,non functional
60689,functional
41946,non functional
65540,non functional
25589,functional
31303,functional needs repair
3445,non functional
24142,non functional
73923,functional
68642,functional
6660,functional
30973,non functional
17978,functional
66835,non functional
30156,non functional
54637,non functional
55367,functional
41285,functional needs repair
22246,functional
10252,functional
21387,functional
25371,non functional
16202,non functional
29194,functional
20864,functional
71361,functional
28648,non functional
10167,functional
57902,functional
72134,functional
42106,non functional
52636,functional
18063,functional
34928,functional
72444,functional
13599,non functional
63973,non functional
65648,functional
62352,functional
31902,non functional
51366,functional
66495,non functional
50558,functional needs repair
8794,functional
49196,functional
3007,non functional
20385,functional
28929,functional
13903,non functional
18361,functional
38234,functional
39722,functional
63834,functional
8608,functional
44354,non functional
55532,non functional
64383,non functional
52916,functional
20293,functional
29961,functional needs repair
61749,functional
46360,functional
19932,functional
74032,functional
18956,non functional
69945,functional
33051,non functional
26697,non functional
58209,functional
21414,non functional
4027,non functional
19796,functional
34329,functional
71260,functional
68944,non functional
66357,functional
68437,functional
10235,functional
46467,functional
2366,functional
5645,functional
46414,non functional
64927,functional needs repair
16275,functional
40648,functional
12947,functional
62101,functional
58269,functional
41919,functional
55684,functional
9616,non functional
18068,functional
62026,functional
57115,functional needs repair
3101,functional
4117,non functional
40405,functional
17546,non functional
45269,non functional
39003,non functional
36957,functional
52788,functional
39910,functional needs repair
45096,functional
39733,functional
28426,non functional
72426,functional needs repair
40781,functional
450,non functional
13574,functional
16149,non functional
47831,functional
36346,non functional
17206,functional needs repair
65763,functional
20260,functional
39135,functional
11842,non functional
47862,functional
19145,functional
15502,non functional
72202,non functional
31586,functional
7055,functional
24073,functional
59043,functional needs repair
64935,functional
23680,non functional
30492,non functional
61703,non functional
58562,functional
18862,functional
36031,functional
69437,non functional
64163,non functional
14641,functional
43552,functional
57651,non functional
28417,functional
34974,functional
71139,functional
37260,non functional
21821,non functional
14631,non functional
28650,functional
73642,functional
50370,non functional
18887,non functional
48419,non functional
11002,functional needs repair
52663,functional needs repair
65755,functional
35258,functional
17081,functional
32539,functional
33493,functional
27589,non functional
15586,non functional
37892,non functional
73530,non functional
67310,non functional
47710,non functional
58691,functional
33657,functional
71202,non functional
9193,functional
45649,non functional
26557,functional
50680,non functional
33540,non functional
15816,functional
27475,non functional
60732,non functional
40933,functional
61644,functional needs repair
11120,functional
53086,functional
23413,non functional
31947,functional needs repair
60474,functional
25902,non functional
41510,functional
21176,non functional
33612,functional
9799,functional
31469,functional
46088,functional
36370,functional needs repair
23446,non functional
15017,non functional
52649,functional needs repair
48993,non functional
36130,non functional
7599,functional
48605,non functional
15529,functional
22362,functional
51999,functional
22114,non functional
67987,functional
49738,functional
36520,non functional
22255,non functional
50380,functional
12415,non functional
62835,functional
29084,functional
22710,functional needs repair
24254,functional
14030,functional
39076,functional
39618,non functional
7828,functional
61969,non functional
17415,functional
22071,functional
60560,non functional
55529,functional
632,functional
34137,functional
41135,functional
5033,functional
57705,non functional
38767,functional
52289,functional
39418,non functional
28133,functional
8823,functional
39219,functional
55686,non functional
11813,non functional
35651,functional
24855,non functional
25837,non functional
49428,non functional
39526,functional needs repair
35823,non functional
49845,functional
36365,functional
25237,functional
50206,non functional
15024,functional
14403,non functional
69648,functional
28610,functional
2455,non functional
19495,functional
4781,functional
51231,non functional
15959,functional
67839,functional
22167,non functional
62305,functional
38916,non functional
1336,functional
60554,non functional
48044,functional needs repair
46433,functional
58275,functional
20340,functional
35419,functional
40058,functional
37747,functional
36474,non functional
46876,functional
11005,non functional
39172,non functional
33354,non functional
40927,non functional
48986,non functional
66970,functional
39979,functional
35643,non functional
64507,functional
69622,functional
14461,non functional
19360,functional
39057,non functional
40709,non functional
47004,functional
25801,functional
58793,non functional
33494,functional
24491,functional
36230,non functional
51084,non functional
58463,functional
73630,functional needs repair
35512,functional
20915,functional
26575,functional
4734,functional
63043,functional
10387,functional
18961,non functional
28829,functional
38247,non functional
16877,functional
23567,non functional
10594,functional
70697,non functional
14645,functional
54496,non functional
9182,functional
35658,functional
53777,functional
65716,non functional
13596,non functional
72619,functional
6691,functional needs repair
1980,functional
2912,functional
72916,non functional
54208,functional
13142,functional
70973,non functional
9560,functional
72241,non functional
2566,non functional
11539,functional
56130,non functional
11720,functional
45247,non functional
14962,non functional
58097,functional
11136,functional
55346,functional
17945,functional
21632,functional
21348,functional needs repair
59133,functional
71780,functional
48783,functional needs repair
69570,functional
23165,non functional
56218,non functional
20821,non functional
33465,functional
44583,functional
9611,functional
31698,functional
54545,functional
37654,non functional
69013,functional
33646,non functional
42877,functional
72269,functional
25383,functional
43252,functional
43609,functional
5242,non functional
49797,functional
54657,functional
15405,non functional
66866,non functional
66775,non functional
52380,functional
72681,functional
26428,functional
57224,functional
69229,non functional
34747,non functional
5431,functional
19966,non functional
66065,non functional
48980,functional
58355,non functional
41705,non functional
8232,non functional
52997,non functional
33202,functional
20515,functional
53314,non functional
63861,functional
43091,non functional
21843,functional
26461,functional
7349,functional
57092,functional needs repair
49693,functional needs repair
48040,non functional
25506,non functional
6340,non functional
39642,non functional
72428,non functional
68355,functional
61357,functional
73115,non functional
13309,functional
49627,functional
40394,functional
21859,non functional
42183,functional
33069,non functional
38905,functional
880,functional
52615,functional
51722,functional
60660,non functional
26815,non functional
58715,functional
16477,functional
1865,non functional
50312,non functional
63002,functional
2564,functional
3789,functional
60313,non functional
68434,functional
57128,non functional
8275,non functional
67422,functional needs repair
22795,functional
15908,non functional
11441,functional
51430,functional needs repair
17815,functional
54457,non functional
43961,functional
39342,non functional
60970,functional
26430,non functional
44563,non functional
13573,non functional
24719,non functional
26038,functional
52630,functional
56652,functional needs repair
4326,functional
65383,non functional
35554,non functional
66876,functional
55813,functional
56339,functional needs repair
60532,functional
21124,non functional
25453,non functional
15802,non functional
246,non functional
59533,functional
16505,functional
58009,functional
11486,functional
60968,functional
67066,functional
71478,non functional
6285,functional
47430,functional
22166,functional needs repair
35986,functional
20957,functional
39065,functional
24446,functional needs repair
53871,non functional
7815,non functional
25978,non functional
27687,non functional
65353,non functional
1755,functional
7220,functional
17788,functional needs repair
50791,functional
72314,non functional
45846,non functional
38729,functional
3408,functional
49929,functional
68325,non functional
41288,functional
40471,functional
26354,functional
25685,functional needs repair
52614,functional
19592,functional
25361,non functional
5293,non functional
10756,functional
36591,non functional
70854,functional
56982,non functional
31456,functional
15404,functional needs repair
19320,functional
54998,non functional
66661,functional
72347,non functional
37634,functional
12957,functional
57952,non functional
29424,functional
43094,functional
29096,non functional
17104,non functional
21227,functional
37498,functional
4451,functional
4051,functional
7788,functional
3248,functional
63537,functional needs repair
2458,non functional
21108,non functional
45854,functional
39843,non functional
38566,functional
28548,non functional
52833,functional
23870,functional
60823,non functional
548,functional needs repair
5244,non functional
55903,functional
63077,non functional
46462,functional
12526,functional
72622,non functional
1849,non functional
6872,functional
10684,non functional
5589,non functional
39040,functional needs repair
32104,functional
52288,non functional
31733,functional
42543,non functional
5124,non functional
30732,non functional
17254,non functional
56717,functional
10409,functional
37476,functional
54075,functional
66242,functional needs repair
12903,non functional
37810,functional
69705,functional
56681,functional
71890,functional
46245,functional
14310,non functional
922,non functional
47861,functional
28480,non functional
12882,functional
34363,functional
24764,functional
64003,functional
35116,non functional
49984,functional
1071,non functional
61282,functional
11790,functional
8287,functional
62138,functional
14146,non functional
55992,functional
40265,functional
39022,non functional
31922,non functional
44154,functional needs repair
26702,functional
33517,functional
33740,functional
35890,functional needs repair
65123,non functional
10619,functional
29673,non functional
32457,non functional
49519,non functional
45359,non functional
67819,non functional
71522,functional
71446,functional
49789,functional
27383,non functional
69737,functional
64491,non functional
46504,functional
55938,non functional
62571,non functional
27010,functional
53933,non functional
60424,functional
14430,non functional
57808,non functional
27667,functional
64759,non functional
51324,functional
46829,functional
73713,functional
2635,functional
42020,non functional
54118,functional
71619,functional
40377,functional
37109,functional needs repair
67590,functional
2694,non functional
12227,functional
47517,non functional
7896,functional
44014,non functional
5781,non functional
34319,functional needs repair
24261,non functional
40723,non functional
23202,non functional
33133,functional
13921,functional
21133,functional
55618,non functional
31215,functional
29563,non functional
17627,functional
62355,non functional
24149,functional
68599,functional
22562,non functional
55695,functional
25294,non functional
31946,functional needs repair
6984,functional
35139,functional
67506,non functional
15985,functional
9836,non functional
47580,non functional
16323,functional
73683,functional
41150,non functional
72812,non functional
32550,non functional
50446,non functional
64313,functional needs repair
38746,non functional
67809,functional
73910,functional
19482,non functional
20608,functional
26581,functional
10182,functional
7779,non functional
33745,non functional
68646,non functional
5288,functional
20484,functional
54864,non functional
67492,non functional
37368,functional
63465,functional
49366,functional
23123,functional
15125,functional
47133,non functional
11871,non functional
40662,functional
37345,non functional
66341,non functional
25859,non functional
4821,functional
48048,non functional
5246,non functional
67759,non functional
29382,functional
44475,functional
28440,functional
28542,non functional
63674,non functional
32572,non functional
45388,functional
44282,functional
62973,functional
48740,functional
35144,functional
61276,functional
23857,functional
27884,non functional
63572,non functional
11659,functional
53464,non functional
6414,non functional
3249,functional
44991,functional needs repair
9916,functional
57493,non functional
7441,functional
62141,non functional
55846,non functional
47763,functional
4466,non functional
58483,functional
58672,non functional
15957,functional
61614,functional
52934,non functional
22891,non functional
52103,non functional
47135,functional
4995,non functional
21860,functional
15524,functional
1460,non functional
70952,non functional
54051,non functional
71535,non functional
54033,non functional
2490,functional
35377,non functional
12508,functional
4813,functional
42073,functional
46268,non functional
7808,functional
35189,functional
67671,functional
73644,non functional
5789,functional
64246,functional
17633,functional
70746,functional
15444,functional
9308,functional
61495,non functional
46448,non functional
24151,functional
18283,functional
40645,functional
1325,functional
59650,non functional
55012,functional
1611,functional
30055,functional
29674,functional
16826,functional
33682,non functional
45187,non functional
16848,non functional
32752,functional
55788,non functional
52789,non functional
59026,functional
57976,functional
41741,non functional
50513,functional
61382,functional
54863,functional
6553,functional
14480,non functional
73096,non functional
28753,non functional
45406,functional
14038,functional
12598,functional
13790,non functional
20781,functional
44425,functional
22100,functional
44434,functional
16419,functional
56591,non functional
71007,functional
60098,functional
68689,functional
29234,functional
42918,non functional
10131,functional
49061,functional
60674,non functional
42846,functional needs repair
10302,functional needs repair
14076,functional
18203,non functional
37917,non functional
20637,functional
2770,functional
41670,functional
659,non functional
2339,functional
73091,non functional
41319,non functional
13992,functional
19293,functional
55765,functional
1260,functional
24755,non functional
61451,non functional
61311,functional
47493,non functional
71068,functional
18866,functional
50204,functional
47230,functional
29025,non functional
50900,functional
45272,non functional
72058,functional
16737,non functional
12930,functional
50944,functional
17107,functional
14805,functional
61265,functional
30289,non functional
51583,functional
25432,functional
4054,functional
11599,functional
9549,functional
56780,non functional
40271,functional
63027,non functional
15602,functional
39502,non functional
26621,non functional
9945,functional
51220,functional
17323,non functional
62977,functional
29004,non functional
6017,non functional
2342,functional
43694,non functional
60464,functional
35567,functional
34264,functional
27802,non functional
13937,functional
23571,functional needs repair
63615,non functional
38912,non functional
32876,functional
52590,non functional
50462,non functional
62056,functional
12503,functional
60731,functional
29601,non functional
20865,functional
17918,non functional
54448,functional
8374,functional
47366,functional needs repair
48963,functional
2697,non functional
41310,functional
6828,functional
9372,functional
63483,functional
73341,functional
43316,functional
32079,non functional
16398,functional
61626,non functional
66292,functional
31076,functional needs repair
65776,functional
70823,non functional
4478,functional
5778,non functional
1092,functional
10265,functional
12277,non functional
23742,functional
30142,functional
55463,non functional
69869,functional
36932,non functional
60436,functional
42189,non functional
68364,functional
17740,functional
41723,functional
38819,non functional
11547,non functional
33028,functional
26970,non functional
22739,functional
15475,functional
18489,functional
72530,functional needs repair
15542,non functional
28498,functional
55912,functional
33575,functional
24632,functional
71207,non functional
50470,non functional
72646,functional
63046,functional
43327,functional
48192,functional
62373,functional
50078,functional
6636,functional needs repair
30742,functional
59866,non functional
65492,non functional
62644,non functional
11924,functional
37366,non functional
